year,city,country
1991,Bogotá,Colombia
1997,Oaxtepec,Mexico
1998,Merida,Venezuela
1999,Alto de Ochomogo,Costa Rica
2000,Jaca,España
2001,Sorata,Bolivia
2002,Antigua,Guatemala
2003,La Habana,Cuba
2004,Salvador,Salvador
2005,Colonia del Sacramento,Uruguay
2006,Coimbra,Brasil
2007,Córdoba,Argentina
2008,Morelia,Mexico
2009,Santiago de Chile,Chile
2010,Ciudad de Panamá,Panama
