year,city,country
2000,Karawaci,Indonesia
2001,Taipei,Taiwan
2002,Singapore,Singapore
2003,Bangkok & Salaya,Thailand
2004,Hanoi,Vietnam
2005,Pekanbaru,Indonesia
2006,Almaty,Kazakhstan
2007,Shanghai,China
2008,Ulaanbaatar,Mongolia
2009,Bangkok,Thailand
2010,Taipei,Taiwan
2011,Tel Aviv,Israel
2012,Delhi,India
2013,Bogor,Indonesia
